job,job_status,dataset,experiment,arm,hops,control,bridge_ratio,precision,update_policy,variant,category,n_candidate_answers,n_valid_judgments,n_invalid_judgments,n_pending_judgments,n_conversations,conversation_ids,mean_criterion_fraction,all_criteria_pass_rate,judge_mean_latency_ms,judge_mean_generated_tokens,warm_generation_p50_ms,metric_role,interval_note
beam_equal_updates,complete,beam,E1,direct_text,3,correct,0.2,bf16,all,direct_text/bf16,all,60,60,0,0,3,"[""beam-1m-1"", ""beam-1m-2"", ""beam-1m-3""]",0.3486111111111111,0.31666666666666665,1899.7551159884704,50.71666666666667,3140.6556040165015,Exploratory same-model local rubric judge; not official BEAM,No population interval: probes clustered within selected conversations
beam_equal_updates,complete,beam,E1,latent,3,correct,0.2,bf16,all,latent/bf16,all,60,60,0,0,3,"[""beam-1m-1"", ""beam-1m-2"", ""beam-1m-3""]",0.3527777777777778,0.3,1857.0983195657998,49.333333333333336,4224.302396003623,Exploratory same-model local rubric judge; not official BEAM,No population interval: probes clustered within selected conversations
beam_equal_updates,complete,beam,E1,latent,3,correct,0.2,int8,all,latent/int8,all,60,60,0,0,3,"[""beam-1m-1"", ""beam-1m-2"", ""beam-1m-3""]",0.3416666666666667,0.2833333333333333,1841.883338165159,49.016666666666666,4193.222750007408,Exploratory same-model local rubric judge; not official BEAM,No population interval: probes clustered within selected conversations
beam_equal_updates,complete,beam,E1,text,3,correct,0.2,bf16,all,text/bf16,all,60,60,0,0,3,"[""beam-1m-1"", ""beam-1m-2"", ""beam-1m-3""]",0.32083333333333336,0.2833333333333333,1834.037523602213,48.9,9772.796062519774,Exploratory same-model local rubric judge; not official BEAM,No population interval: probes clustered within selected conversations
beam_equal_updates,complete,beam,E6,direct_text,3,correct,0.2,bf16,all,direct_text/bf16,all,12,12,0,0,3,"[""beam-1m-1"", ""beam-1m-2"", ""beam-1m-3""]",0.25,0.25,1661.5070313418983,44.916666666666664,2684.698874509195,Exploratory same-model local rubric judge; not official BEAM,No population interval: probes clustered within selected conversations
beam_equal_updates,complete,beam,E6,direct_text,3,correct,0.2,bf16,all,direct_text/bf16,contradiction_resolution,6,6,0,0,3,"[""beam-1m-1"", ""beam-1m-2"", ""beam-1m-3""]",0.0,0.0,1925.9143541761052,51.833333333333336,3045.8156669919845,Exploratory same-model local rubric judge; not official BEAM,No population interval: probes clustered within selected conversations
beam_equal_updates,complete,beam,E6,direct_text,3,correct,0.2,bf16,all,direct_text/bf16,knowledge_update,6,6,0,0,3,"[""beam-1m-1"", ""beam-1m-2"", ""beam-1m-3""]",0.5,0.5,1397.0997085076913,38.0,1745.2662710275035,Exploratory same-model local rubric judge; not official BEAM,No population interval: probes clustered within selected conversations
beam_equal_updates,complete,beam,E6,latent,3,correct,0.2,bf16,all,latent/bf16,all,12,12,0,0,3,"[""beam-1m-1"", ""beam-1m-2"", ""beam-1m-3""]",0.25,0.25,1673.6108888338397,45.0,3477.3349374881946,Exploratory same-model local rubric judge; not official BEAM,No population interval: probes clustered within selected conversations
beam_equal_updates,complete,beam,E6,latent,3,correct,0.2,bf16,all,latent/bf16,contradiction_resolution,6,6,0,0,3,"[""beam-1m-1"", ""beam-1m-2"", ""beam-1m-3""]",0.0,0.0,1841.8133750092238,49.166666666666664,3966.9563334900886,Exploratory same-model local rubric judge; not official BEAM,No population interval: probes clustered within selected conversations
beam_equal_updates,complete,beam,E6,latent,3,correct,0.2,bf16,all,latent/bf16,knowledge_update,6,6,0,0,3,"[""beam-1m-1"", ""beam-1m-2"", ""beam-1m-3""]",0.5,0.5,1505.4084026584558,40.833333333333336,2696.1891669780016,Exploratory same-model local rubric judge; not official BEAM,No population interval: probes clustered within selected conversations
beam_equal_updates,complete,beam,E6,latent,3,correct,0.2,int8,all,latent/int8,all,12,12,0,0,3,"[""beam-1m-1"", ""beam-1m-2"", ""beam-1m-3""]",0.16666666666666666,0.16666666666666666,1639.09983682485,44.083333333333336,3464.7203749918845,Exploratory same-model local rubric judge; not official BEAM,No population interval: probes clustered within selected conversations
beam_equal_updates,complete,beam,E6,latent,3,correct,0.2,int8,all,latent/int8,contradiction_resolution,6,6,0,0,3,"[""beam-1m-1"", ""beam-1m-2"", ""beam-1m-3""]",0.0,0.0,1716.183847320887,45.5,3949.217645509634,Exploratory same-model local rubric judge; not official BEAM,No population interval: probes clustered within selected conversations
beam_equal_updates,complete,beam,E6,latent,3,correct,0.2,int8,all,latent/int8,knowledge_update,6,6,0,0,3,"[""beam-1m-1"", ""beam-1m-2"", ""beam-1m-3""]",0.3333333333333333,0.3333333333333333,1562.0158263288129,42.666666666666664,3049.0732709877193,Exploratory same-model local rubric judge; not official BEAM,No population interval: probes clustered within selected conversations
beam_equal_updates,complete,beam,E6,text,3,correct,0.2,bf16,all,text/bf16,all,12,12,0,0,3,"[""beam-1m-1"", ""beam-1m-2"", ""beam-1m-3""]",0.2916666666666667,0.25,1611.2541839975165,43.416666666666664,7219.630437029991,Exploratory same-model local rubric judge; not official BEAM,No population interval: probes clustered within selected conversations
beam_equal_updates,complete,beam,E6,text,3,correct,0.2,bf16,all,text/bf16,contradiction_resolution,6,6,0,0,3,"[""beam-1m-1"", ""beam-1m-2"", ""beam-1m-3""]",0.0,0.0,1742.3509581615992,46.333333333333336,8657.045541971456,Exploratory same-model local rubric judge; not official BEAM,No population interval: probes clustered within selected conversations
beam_equal_updates,complete,beam,E6,text,3,correct,0.2,bf16,all,text/bf16,knowledge_update,6,6,0,0,3,"[""beam-1m-1"", ""beam-1m-2"", ""beam-1m-3""]",0.5833333333333334,0.5,1480.1574098334338,40.5,4319.781500002136,Exploratory same-model local rubric judge; not official BEAM,No population interval: probes clustered within selected conversations
